損益計算書は1会計期間の収益、費用、利益を示している。,true,正しい！
貸借対照表の資産の部には、「流動資産」「固定資産」「繰延資産」がある。,true,正しい！
貸借対照表の負債の部は、「固定負債」のみである。,false,貸借対照表の負債の部には、「流動負債」もある。
損益計算書について、「売上高」-「売上原価」=「売上総利益(粗利)」である。,true,正しい！なお、売上総利益は粗利ともいう。
損益計算書について、「売上総利益」-「販売費及び一般管理費」=「経常利益」である。,false,「売上総利益」-「販売費及び一般管理費」=「営業利益」である。営業利益は企業の本業の儲けである。
損益計算書について、「営業利益」+「営業外収益」-「営業外費用」=「経常利益」である。,true,正しい！営業外収益や営業外費用は企業の本業以外の収益や費用である。
損益計算書について、「経常利益」+「特別利益」-「特別損失」=「税引前当期純利益」である。,true,正しい！特別利益や特別損失は企業の本業以外の利益や費用であり、臨時かつ多額なものである。なお、臨時かつ多額について明確な基準があるわけではなく、企業ごとに判断している。
損益計算書について、「税引前当期純利益」-「法人税等」=「当期純利益」という。,true,正しい！
企業が1年間で利益を100円増やした場合、現金についても必ず100円増える。,false,現金と利益は必ずしも一致するわけではない。例えば、当期に設立した企業が1年間で1取引だけの場合に、原価0円の商品を取引先Aに100円で販売したとする。この時、50円は掛けで販売し、残りの50円を現金で受け取った場合には、現金は50円しか増えていない(利益100円-売掛金50円)。
企業の一年間のキャッシュの流れを把握したくても、把握できる財務諸表はない。,false,キャッシュ・フロー計算書にて1年間のキャッシュの流れを把握できる。
企業が出資を受けた場合、貸借対照表の負債の金額が増える。,false,企業が出資を受けた場合には、純資産の金額が増える。
企業が融資を受けた場合、貸借対照表の負債の金額が増える。,true,正しい！
貸借対照表の資産の金額と負債・純資産の金額の合計は一致する。,true,正しい！
貸借対照表は、「資産の部」「負債の部」「純資産の部」がある。,true,正しい！
財務諸表には「貸借対照表」「損益計算書」「キャッシュ・フロー計算書」「株主資本等変動計算書」「附属明細表」がある。,true,正しい！
売上高営業利益率は「営業利益÷当期純利益×100」により算出できる。,false,「営業利益÷売上高×100」により算出できる。本業でしっかり稼げているかどうかを判断できる。
売上高総利益率は「売上総利益÷売上高×100」により算出できる。,true,正しい！粗利率ともいう。企業の商品やサービスそのものの収益性を判断できる。
売上高経常利益率は「経常利益÷売上高×100」により算出できる。,true,正しい！本業で得た利益に、財務活動によって生じた損益を加味して収益性を判断できる。
法人税は会計上の利益に税率を乗じて算出される。,false,会計上の利益と税務上の利益(課税所得という)の金額は異なる。会計上の利益は収益から費用を控除した金額で算出されるが、税務上は益金から損金を控除した金額で算出される。なお、課税所得は当期純利益を基礎として算出される。
本業として車の販売のみを行なっている会社が貸付金の利息を受け取った場合、当該利息は売上高に計上される。,false,本業として車の販売のみを行なっている会社が貸付金の利息を受け取った場合、当該利息は営業外収益に受取利息として計上される。
貸借対照表の負債の部は「他人資本」と呼ばれる。,true,正しい！
貸借対照表の純資産の部は「自己資本」と呼ばれる。,true,正しい！
会計面について、企業は利益を出し続けていれば、倒産することはない。,false,利益とキャッシュの金額は必ずしも一致しない。例えば、掛けで販売した場合、利益は計上されるが、キャッシュの獲得は先になる。仮に黒字が続いていたとしても、売上からキャッシュ獲得までの期間が長いと、必要な資金が手元になく、仕入れや人件費の支払い等ができずに倒産することがある。このように、利益が出ているのにも関わらず、支払いに必要な資金が不足し、倒産することを黒字倒産という。黒字倒産を起こさないためにも資金繰りは重要である。また、企業のキャッシュの状況を確認する財務諸表としては、キャッシュ・フロー計算書がある。
